team,form_score,pp_strike_rate,boundary_percentage,impact_score
CSK,56.690000000000005,154.38000000000002,35.482,80.01
DC,52.232,134.986,38.455333333333336,83.42
GT,47.556000000000004,129.61533333333333,43.59666666666667,71.9
KKR,49.808,136.098,47.58533333333333,73.94
LSG,51.23733333333333,129.14466666666667,40.48266666666667,73.46
MI,47.646,138.362,45.622,76.46
PBKS,59.63533333333333,136.82466666666667,33.642,82.5
RCB,59.388000000000005,129.48999999999998,45.24666666666667,80.01
RR,56.63933333333333,132.62333333333333,46.522666666666666,81.71
SRH,65.41799999999999,133.99533333333335,38.638000000000005,89.64
