match_id,season,team1,team2,venue,pitch_type,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
1,2023,PBKS,RCB,M. A. Chidambaram Stadium,Batting Friendly,RCB,bowl,RCB,49,0
2,2023,RCB,RR,Wankhede Stadium,Batting Friendly,RCB,bat,RR,8,0
3,2023,KKR,PBKS,Sawai Mansingh Stadium,Bowling Friendly,KKR,bat,KKR,0,9
4,2023,DC,MI,M. Chinnaswamy Stadium,Batting Friendly,MI,bowl,MI,47,0
5,2023,RR,LSG,Rajiv Gandhi Intl Stadium,Bowling Friendly,LSG,bowl,RR,0,9
6,2023,RR,SRH,Wankhede Stadium,Balanced,RR,bowl,SRH,30,0
7,2023,RCB,CSK,Arun Jaitley Stadium,Balanced,CSK,bowl,RCB,0,9
8,2023,LSG,PBKS,M. A. Chidambaram Stadium,Batting Friendly,LSG,bat,LSG,40,0
9,2023,MI,RR,Arun Jaitley Stadium,Balanced,MI,bat,RR,0,9
10,2023,RCB,RR,Arun Jaitley Stadium,Spin Friendly,RR,bat,RR,41,0
11,2023,SRH,LSG,Rajiv Gandhi Intl Stadium,Bowling Friendly,LSG,bowl,LSG,23,0
12,2023,SRH,KKR,M. A. Chidambaram Stadium,Balanced,KKR,bat,SRH,20,0
13,2023,RR,MI,Narendra Modi Stadium,Balanced,RR,bowl,MI,0,6
14,2023,DC,KKR,M. A. Chidambaram Stadium,Bowling Friendly,DC,bat,DC,0,5
15,2023,GT,LSG,Rajiv Gandhi Intl Stadium,Balanced,GT,bat,LSG,5,0
16,2023,SRH,CSK,Wankhede Stadium,Spin Friendly,CSK,bowl,CSK,31,0
17,2023,MI,LSG,M. Chinnaswamy Stadium,Balanced,LSG,bowl,LSG,0,2
18,2023,KKR,DC,Sawai Mansingh Stadium,Batting Friendly,DC,bat,DC,0,4
19,2023,CSK,LSG,Sawai Mansingh Stadium,Batting Friendly,CSK,bat,LSG,0,6
20,2023,MI,DC,Arun Jaitley Stadium,Bowling Friendly,MI,bat,DC,0,2
21,2023,MI,DC,Rajiv Gandhi Intl Stadium,Spin Friendly,MI,bat,MI,45,0
22,2023,RR,CSK,Arun Jaitley Stadium,Batting Friendly,RR,bat,CSK,0,7
23,2023,RCB,MI,Eden Gardens,Balanced,MI,bat,MI,0,9
24,2023,GT,KKR,Eden Gardens,Batting Friendly,KKR,bat,GT,0,7
25,2023,PBKS,MI,Arun Jaitley Stadium,Spin Friendly,PBKS,bowl,PBKS,0,1
26,2023,DC,CSK,Arun Jaitley Stadium,Spin Friendly,DC,bowl,DC,0,7
27,2023,MI,PBKS,Wankhede Stadium,Balanced,PBKS,bat,MI,0,2
28,2023,RR,DC,Wankhede Stadium,Balanced,RR,bowl,DC,0,5
29,2023,LSG,SRH,M. A. Chidambaram Stadium,Bowling Friendly,LSG,bowl,SRH,22,0
30,2023,LSG,KKR,M. Chinnaswamy Stadium,Spin Friendly,KKR,bat,LSG,46,0
31,2023,GT,RCB,Wankhede Stadium,Bowling Friendly,GT,bat,GT,0,3
32,2023,SRH,PBKS,M. Chinnaswamy Stadium,Batting Friendly,PBKS,bat,SRH,0,9
33,2023,GT,RCB,Eden Gardens,Spin Friendly,GT,bat,GT,0,2
34,2023,RR,PBKS,Arun Jaitley Stadium,Balanced,PBKS,bat,RR,0,1
35,2023,SRH,KKR,M. Chinnaswamy Stadium,Bowling Friendly,SRH,bat,KKR,0,1
36,2023,GT,RCB,M. A. Chidambaram Stadium,Balanced,GT,bowl,RCB,34,0
37,2023,CSK,RR,Narendra Modi Stadium,Balanced,RR,bat,CSK,17,0
38,2023,GT,CSK,Arun Jaitley Stadium,Spin Friendly,GT,bat,GT,12,0
39,2023,LSG,MI,Eden Gardens,Batting Friendly,LSG,bowl,MI,46,0
40,2023,RR,CSK,Eden Gardens,Bowling Friendly,CSK,bowl,CSK,0,1
41,2023,CSK,MI,Eden Gardens,Batting Friendly,CSK,bowl,CSK,7,0
42,2023,CSK,DC,Rajiv Gandhi Intl Stadium,Spin Friendly,DC,bat,DC,0,2
43,2023,SRH,CSK,Wankhede Stadium,Batting Friendly,SRH,bowl,CSK,36,0
44,2023,LSG,MI,M. A. Chidambaram Stadium,Spin Friendly,MI,bat,LSG,0,1
