player_id,name,team,role,runs_last_5,sr_last_5,wickets_last_5,economy_last_5,form_score
1,Player_CSK_1,CSK,Wicket-Keeper,97,152.6,2,7.73,49
2,Player_CSK_2,CSK,Wicket-Keeper,93,160.53,4,10.25,58
3,Player_CSK_3,CSK,Batsman,130,117.33,4,8.73,79
4,Player_CSK_4,CSK,All-Rounder,164,131.83,3,10.04,85
5,Player_CSK_5,CSK,All-Rounder,78,178.59,10,8.84,100
6,Player_CSK_6,CSK,Bowler,23,169.64,0,7.36,0
7,Player_CSK_7,CSK,Bowler,177,154.6,12,6.16,100
8,Player_CSK_8,CSK,Bowler,223,101.93,4,10.91,100
9,Player_CSK_9,CSK,Wicket-Keeper,240,111.22,1,8.53,100
10,Player_CSK_10,CSK,Wicket-Keeper,118,121.24,10,10.12,100
11,Player_CSK_11,CSK,Bowler,117,125.94,0,10.27,37
12,Player_CSK_12,CSK,Bowler,100,139.81,10,6.27,100
13,Player_CSK_13,CSK,All-Rounder,177,175.5,9,8.77,100
14,Player_CSK_14,CSK,All-Rounder,151,119.29,11,6.88,100
15,Player_CSK_15,CSK,Bowler,179,159.64,3,8.17,97
16,Player_MI_1,MI,Bowler,111,107.56,9,6.91,100
17,Player_MI_2,MI,Bowler,108,136.59,2,6.97,56
18,Player_MI_3,MI,Wicket-Keeper,53,103.38,12,6.76,100
19,Player_MI_4,MI,Wicket-Keeper,156,143.76,5,8.4,100
20,Player_MI_5,MI,Batsman,209,136.68,5,9.31,100
21,Player_MI_6,MI,Wicket-Keeper,198,129.19,1,7.14,92
22,Player_MI_7,MI,Bowler,223,108.35,5,7.16,100
23,Player_MI_8,MI,Wicket-Keeper,242,107.14,9,9.58,100
24,Player_MI_9,MI,Bowler,111,179.72,3,8.24,63
25,Player_MI_10,MI,Bowler,206,121.7,7,7.01,100
26,Player_MI_11,MI,Batsman,44,130.83,4,7.42,39
27,Player_MI_12,MI,Bowler,64,119.52,6,10.91,58
28,Player_MI_13,MI,Wicket-Keeper,94,167.53,10,9.96,100
29,Player_MI_14,MI,Bowler,41,142.68,11,10.86,86
30,Player_MI_15,MI,Wicket-Keeper,202,113.03,5,8.81,100
31,Player_RCB_1,RCB,Wicket-Keeper,135,143.02,12,9.64,100
32,Player_RCB_2,RCB,Bowler,197,128.34,0,9.33,79
33,Player_RCB_3,RCB,Batsman,95,174.69,8,7.24,97
34,Player_RCB_4,RCB,Bowler,138,168.88,3,7.53,77
35,Player_RCB_5,RCB,Batsman,166,177.59,7,9.17,100
36,Player_RCB_6,RCB,Batsman,57,127.94,5,7.24,54
37,Player_RCB_7,RCB,Batsman,137,118.33,6,10.09,96
38,Player_RCB_8,RCB,Wicket-Keeper,233,125.05,4,9.03,100
39,Player_RCB_9,RCB,Batsman,161,136.67,11,8.39,100
40,Player_RCB_10,RCB,Bowler,91,113.71,10,6.19,100
41,Player_RCB_11,RCB,Wicket-Keeper,242,131.17,5,9.92,100
42,Player_RCB_12,RCB,Wicket-Keeper,236,131.52,4,10.69,100
43,Player_RCB_13,RCB,Wicket-Keeper,160,149.17,10,6.91,100
44,Player_RCB_14,RCB,All-Rounder,112,100.11,7,10.69,90
45,Player_RCB_15,RCB,All-Rounder,154,157.21,1,8.16,68
46,Player_KKR_1,KKR,Bowler,162,119.26,7,10.5,100
47,Player_KKR_2,KKR,Bowler,188,114.27,11,9.92,100
48,Player_KKR_3,KKR,Wicket-Keeper,168,130.38,7,10.83,100
49,Player_KKR_4,KKR,All-Rounder,154,103.74,4,7.8,93
50,Player_KKR_5,KKR,Bowler,39,107.16,4,6.99,37
51,Player_KKR_6,KKR,Batsman,21,141.57,1,8.96,0
52,Player_KKR_7,KKR,Batsman,219,176.94,11,8.44,100
53,Player_KKR_8,KKR,Wicket-Keeper,103,140.13,9,8.8,100
54,Player_KKR_9,KKR,Bowler,168,158.49,2,6.61,86
55,Player_KKR_10,KKR,Batsman,87,141.43,6,10.27,70
56,Player_KKR_11,KKR,All-Rounder,128,102.71,7,8.44,100
57,Player_KKR_12,KKR,Wicket-Keeper,175,132.31,1,8.81,77
58,Player_KKR_13,KKR,All-Rounder,125,112.42,6,8.99,92
